"","Time","Clim.ID","sites","Latitude","Longitude","Abies","Acer","Alnus","Anacardiaceae","Aquifoliaceae.undiff","Betula","Boraginaceae","Carya","Castanea","Celtis","Cornus","Cupressaceae.Taxaceae.undiff","Ericaceae.undiff","Euphorbiaceae","Fabaceae.undiff","Fagus","Fraxinus","Juglans","Larix","Liquidambar","Moraceae","Nyssa","Ostrya.Carpinus","Picea","Pinus.subg.Pinus","Pinus.subg.Strobus","Pinus.undiff","Platanus","Polygonaceae.undiff","Populus","Quercus","Rhamnaceae","Rosaceae.undiff","Salix","Taxodium","Taxus","Tilia","Tsuga","Ulmus"
"76",18,32376,"QUICKSND",34.326389,-84.865278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.888285927938236,0,0,0,0.111714072061764,0,0,0,0,0,0,0,0
"77",18,31104,"ROCKYHOC",36.166667,-76.683333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.330073446669736,0,0,0.669926553330264,0,0,0,0,0,0,0,0,0,0,0,0
"78",18,33668,"SANDYRUN",32.589,-83.052,0,0,0.306127224589463,0,0,0,0,0.085171821957043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32044636470664,0,0,0,0.288254588746854,0,0,0,0,0,0,0,0
"79",18,36891,"TULANEG",27.5895,-81.5008,0,0,0,0,0,0,0,0.0763342522053351,0,0,0,0.064852170209372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200901224229373,0,0,0,0.657912353355919,0,0,0,0,0,0,0,0
"80",18,32384,"WHITEPND",34.166667,-80.775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.933961079081381,0,0,0,0.0660389209186187,0,0,0,0,0,0,0,0
"81",18,24629,"WOLFCRK",46.116667,-94.116667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0957117156433862,0,0,0,0,0,0,0.794885096317818,0,0,0,0,0,0.109403188038796,0,0,0,0,0,0,0,0,0
"82",17,20840,"ALEXISLK",52.516667,-57.033333,0,0,0.181203321438617,0,0,0.426867678537418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0857920581642783,0,0,0.0569344428340958,0,0,0,0,0,0,0.249202499025591,0,0,0,0,0
"83",17,31409,"ANDERSON",36.033333,-85.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0867221603988536,0,0,0,0,0,0.0975306773521313,0.210822612956937,0.0671652199739009,0,0.203207755272948,0,0,0,0.334551574045229,0,0,0,0,0,0,0,0
"84",17,27889,"BINNEWTR",41.4128,-74.5467,0,0,0,0,0,0.165856589033187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.420171477587389,0,0,0.413971933379424,0,0,0,0,0,0,0,0,0,0,0,0
"85",17,34927,"BORIACKB",30.36,-97.126111,0,0,0.689127377248874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0654326459889444,0,0,0,0,0,0.245439976762181,0,0,0,0,0,0,0,0
"86",17,29810,"BROWNSPD",38.154722,-79.616389,0.0897418274334535,0,0.360452996220472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29567673047378,0,0,0.254128445872294,0,0,0,0,0,0,0,0,0,0,0,0
"87",17,34952,"CAMEL",30.266667,-85.016667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100605657765302,0,0.775486223396507,0,0,0,0.123908118838192,0,0,0,0,0,0,0,0
"88",17,28512,"CARTER",40.216667,-84.680556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115974437902822,0,0,0,0,0,0.0638592024538282,0.645987115945565,0,0,0,0,0,0,0.174179243697785,0,0,0,0,0,0,0,0
"89",17,25018,"CHASE",45.651389,-60.675,0,0,0,0,0,0.187820295173411,0,0,0,0,0,0,0.0971192593269032,0,0,0,0,0,0,0,0,0,0,0.0948893874107781,0.0728620605175089,0,0.188663838863494,0,0,0,0,0,0,0.358645158707905,0,0,0,0,0
